"","rho(ret)","rho(ret^2)","rho(|ret|)","S","K","JB","JB p-val"
"FTSE 100",-0.0438040770734005,0.213318388467922,0.278516407174084,-0.343570287867586,8.8871095187192,16745.8172494038,0
"Astrazeneca",0.0184744930212746,0.102945447525633,0.1776260667878,-0.299124638626172,9.10505545840622,17669.5311735005,0
"Barclays",0.0410415731398438,0.117624468947074,0.318144622301343,1.01820322853555,38.5467559730012,316147.430930724,0
"BHP Group Limited",-0.0107431461228391,0.200221951853324,0.196954836197204,-0.0972439143790816,5.94728074490184,7515.36907438795,0
"BP",0.0104252567350599,0.153804786026935,0.235659048380202,-0.204595804243566,12.1130651690435,31159.7897422071,0
"British American Tabacco",-0.0133957122347844,0.203070538515698,0.201591133367021,-0.076328499388072,6.96984100681028,10313.1872912507,0
"BT Group",-0.042688773179452,0.060439233275397,0.159985874647317,-0.633085938240548,11.3580603623387,27716.4452024493,0
"Diageo",-0.0774439386767152,0.252489806771112,0.228922513319154,0.0847598365470457,5.85141173336758,7273.40522898131,0
"GSK",-0.0140410243920391,0.239038890148684,0.211809423187076,-0.0756462306074984,4.16853514719832,3693.69622967805,0
"HSBC",-0.0365023663633536,0.16831177798789,0.256103295397298,-0.196151536570229,13.2603106315035,37345.7994626637,0
"Lloyds Banking Group",0.0491462143548415,0.271732883087462,0.38501415293367,-1.37803098760996,40.223200490153,344829.497785901,0
"National Grid",-0.263807993241351,0.439032124801711,0.376404997374077,-0.288273982229956,24.731576848787,129854.867893807,0
"Prudential",-0.00457938214758722,0.206433920150202,0.2812609431043,0.0860363189935042,11.0644606703938,25985.7563504535,0
"Reckitt Benckiser Group",-0.068185639121308,0.174573612921157,0.178797443564852,-0.0219128341745276,4.57776885340518,4448.85770614416,0
"Rio Tinto Group",-0.0107925980358214,0.143362618077511,0.215071217645571,-1.06407781748557,26.6369097768054,151511.656436011,0
"Shell",0.0268977234047791,0.188880332828848,0.303564825599392,-0.226525512676413,13.5097240376048,31738.7790606948,0
"Standard Chatered",-0.013737403016794,0.236184370175884,0.298285400206424,0.261157749616779,11.1738427200241,26553.4903497232,0
"Unilever",-0.0671712361009742,0.185909213666275,0.209362852487977,-0.0364137562748823,7.0469251488019,10540.6725142926,0
"Vodafone Group",-0.04058857415093,0.137923495511108,0.223039475223136,-0.179882893946378,6.68542761414545,9513.58156010452,0
