"","rho(ret)","rho(ret^2)","rho(|ret|)","S","K","JB","JB p-val"
"DAX",-0.0174976512348973,0.149439545514258,0.21181478758188,-0.160605157182537,6.51619120173644,9010.8502162876,0
"Adidas",0.0257962103567081,0.154200154677735,0.160314636435741,-0.10553805801164,6.63173526910751,9373.19397981936,0
"Allianz",0.029570251142984,0.181373100331318,0.295998694960145,0.201223526367676,10.9421324095334,25522.5401020847,0
"BASF",-0.0096622463660759,0.135951464216102,0.18447048237871,0.00872007566418843,7.35916404410208,11530.2292560678,0
"Bayer",-0.0355137620362651,0.0783349838268084,0.189826855844088,0.566192932677388,19.7478596671067,83283.0846421525,0
"Beiersdorf",-0.0215158343057007,0.105540536274879,0.181575753242562,0.0845475536978007,6.92919720278315,10228.4871170078,0
"BMW",0.0262190076876057,0.138442357402979,0.201315576401034,-0.0716154954289922,5.08515924667284,5510.536261425,0
"Continental",0.0461607617327001,0.178149236152574,0.253222043945372,-0.0321256784065617,10.4596600103407,23291.0428643754,0
"Daimler",0.388318070255489,0.183698483278952,0.191046170107004,1.07301692011851,0.357273177160067,3.8212454518889,0.147988201802775
"Deutsche Bank",0.0344534084647259,0.202115278119508,0.242042137799329,0.0512153875755097,7.34167403863935,11477.6651604958,0
"Deutsche Post",0.00457206943749548,0.232563477631544,0.231437247018311,-0.300450409816621,8.61932765125222,15893.1404126029,0
"Deutsche Telekom",-0.0591675474045725,0.260023274895421,0.304658450091079,-0.104237107971401,9.26661378168017,18289.9182492557,0
"E.ON",0.00121417297542086,0.22654461635815,0.267248375497624,-0.0665329095009,7.41732543257348,11716.8749704792,0
"Fresnel",-0.0305202898474554,0.1384305878399,0.208538314849977,0.00442000644908092,10.9568634264634,25556.758467174,0
"Henkel",-0.0919955656405377,0.321744513998472,0.225295355712348,-0.068808782222168,10.5767077179629,23818.3038602549,0
"Linde",-0.364467454099299,0.411016797594244,0.587169167582053,0.413663146113183,53.8166803664193,514109.702037993,0
"Muchener Ruck",0.0276693897502754,0.224603502833466,0.304377114798822,-0.12174137808322,11.3433837356318,27404.0676297684,0
"RWE",0.00711192768860831,0.155468255346914,0.234914275335142,-0.288681429801916,6.9590048329593,10381.458893153,0
"SAP",-0.0106621384529443,0.0993618856661269,0.216296600899903,-0.252013877084609,18.0776380356568,69617.2759739265,0
"SIEMENS",0.00253000832064278,0.0947799041644752,0.188181051656339,-0.0812511150731315,10.188235439083,22102.8556557061,0
"Volkswagen",0.0097086927602209,0.0205198198531184,0.227722830952339,7.03681659161258,265.158389168071,15006378.1961127,0
